LOCATION,PATHWAY,ORIGIN,CALENDAR_YR,QUANTITY,QUANTITY_UNIT,ITEMS_PER_PACKAGE,COMMODITY
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Kenya,2023,43600,Items,1283,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Brazil,2023,43800,Items,1289,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Poland,2023,43995,Items,1834,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Thailand,2023,44000,Items,1295,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Portugal,2023,44300,Items,1303,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Kenya,2023,44400,Items,1306,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Portugal,2023,45100,Items,1327,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Portugal,2023,45400,Items,1336,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Portugal,2023,45700,Items,1345,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Mexico,2023,46500,Items,1368,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Poland,2023,47985,Items,1920,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Thailand,2023,48000,Items,1500,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Portugal,2023,48400,Items,1383,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,India,2023,48780,Items,1952,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Portugal,2023,49600,Items,1378,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,China,2023,49700,Items,1344,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Portugal,2023,53000,Items,1473,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Kenya,2023,53100,Items,1475,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Kenya,2023,53300,Items,1481,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Dominican Republic,2023,53700,Items,1492,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Portugal,2023,54100,Items,1503,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Portugal,2023,54400,Items,1512,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Kenya,2023,54400,Items,1512,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Uganda,2023,55800,Items,1550,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,China,2023,56955,Items,1499,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,India,2023,57300,Items,2204,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Guatemala,2023,57600,Items,1600,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Kenya,2023,59200,Items,1645,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Viet Nam,2023,59900,Items,1664,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Mexico,2023,60200,Items,1673,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Kenya,2023,60800,Items,1689,none
